date,max_BPM
2024-02-12,97
2024-02-13,85
2024-02-14,195
2024-02-15,100
2024-02-16,129
2024-02-17,84
2024-02-18,97
2024-02-19,108
2024-02-20,92
2024-02-21,92
2024-02-22,97
2024-02-23,113
2024-02-24,93
2024-02-25,81
2024-02-28,113
2024-03-15,82
2024-03-16,96
2024-03-17,55
2024-03-22,88
2024-03-23,101
2024-03-29,103
2024-04-04,95
2024-04-05,97
2024-04-06,108
2024-04-07,91
2024-04-08,96
2024-04-09,76
2024-04-10,99
2024-04-12,101
2024-04-13,109
2024-04-14,101
2024-04-15,67
2024-04-17,83
2024-04-18,93
2024-04-19,102
2024-04-20,96
2024-04-21,96
2024-05-02,191
2024-05-03,179
2024-05-04,181
2024-05-05,103
2024-05-07,186
2024-05-10,152
2024-05-11,90
2024-05-12,92
2024-05-13,105
2024-05-14,73
2024-05-16,92
2024-05-18,95
2024-05-19,101
2024-05-21,93
2024-05-23,97
2024-05-24,129
2024-05-31,101
2024-06-01,100
2024-06-02,108
2024-06-04,97
2024-06-05,90
2024-06-07,96
2024-06-14,88
2024-06-15,65
2024-06-19,125
2024-06-20,95
2024-06-21,84
2024-07-06,107
2024-07-11,111
2024-07-12,97
2024-07-13,96
2024-07-24,88
2024-07-25,85
2024-07-26,98
2024-07-28,106
2024-07-29,87
2024-07-30,103
2024-07-31,119
2024-08-01,135
2024-08-02,95
2024-08-03,108
2024-08-04,106
2024-08-05,164
2024-08-06,99
2024-08-07,109
2024-08-08,145
2024-08-09,181
2024-08-10,104
2024-08-11,100
2024-08-12,97
2024-08-13,110
2024-08-14,94
2024-08-15,109
2024-08-16,91
2024-08-17,115
2024-08-18,100
2024-08-19,91
2024-08-20,83
2024-08-21,115
2024-08-22,185
2024-08-23,99
2024-08-24,111
2024-08-25,94
2024-08-26,92
2024-08-27,99
2024-08-28,130
2024-08-29,89
2024-08-30,100
2024-08-31,100
2024-09-01,94
2024-09-02,92
2024-09-05,88
2024-09-06,192
2024-12-08,182
2024-12-09,90
2024-12-10,128
2024-12-11,192
2025-03-05,98
2025-03-07,140
2025-03-08,101
2025-03-09,106
2025-03-10,97
2025-03-13,112
2025-03-14,116
2025-03-19,98
2025-03-20,83
2025-03-21,102
2025-03-22,110
2025-03-31,99
2025-04-05,103
2025-04-18,118
2025-12-10,108
2025-12-11,99
2025-12-12,105
2025-12-13,125
2025-12-14,105
2026-01-01,89
2026-01-02,116
2026-01-03,102
2026-01-04,115
2026-01-05,121
2026-01-06,113
2026-01-07,118
2026-01-08,113
2026-01-09,105
2026-01-10,115
2026-01-11,89
2026-01-12,98
2026-01-13,128
2026-01-14,99
2026-01-15,157
2026-01-16,113
2026-01-17,113
2026-01-19,104
2026-01-20,103
2026-01-21,107
2026-01-22,123
2026-01-26,110
2026-01-27,105
2026-01-28,119
2026-02-16,131
2026-02-17,123
2026-02-18,98
2026-02-19,191
2026-02-20,129
2026-02-21,99
