com.samsung.shealth.exercise.hr_zone,6311013,1
create_sh_ver,start_time,max_hr_custom,modify_sh_ver,update_time,create_time,at,ant,version,time_offset,deviceuuid,pkg_name,max_hr_auto,datauuid
62701251,2024-07-31 09:46:16.874,,62701251,2024-07-31 09:46:16.879,2024-07-31 09:46:16.879,149,175,1,UTC+0100,2FQHYWdmKB,com.sec.android.app.shealth,189,7bd52a18-1b42-48c5-a47d-f7648a42bf5a,
62701251,2024-08-01 09:48:14.512,,62701251,2024-08-01 09:48:14.515,2024-08-01 09:48:14.515,149,175,1,UTC+0100,2FQHYWdmKB,com.sec.android.app.shealth,189,d03d1dda-8d0c-405e-8497-b8a42e19b24d,
62701251,2024-08-03 10:08:18.884,,62701251,2024-08-03 10:08:18.885,2024-08-03 10:08:18.885,150,175,1,UTC+0100,2FQHYWdmKB,com.sec.android.app.shealth,189,b8ad8e30-dc5d-4f52-a762-62c3e07ffb72,
62701251,2024-08-05 12:51:26.051,,62701251,2024-08-05 12:51:26.053,2024-08-05 12:51:26.053,150,175,1,UTC+0100,2FQHYWdmKB,com.sec.android.app.shealth,189,ed5b0b55-d150-472f-a5c6-560b76136d18,
62701251,2024-08-07 08:52:39.858,,62701251,2024-08-07 08:52:39.859,2024-08-07 08:52:39.859,149,175,1,UTC+0100,2FQHYWdmKB,com.sec.android.app.shealth,189,bcd88f4b-4b49-444a-9204-2c462a8e9dc5,
62710251,2024-08-08 12:33:03.666,,62710251,2024-08-08 12:33:03.673,2024-08-08 12:33:03.673,149,175,1,UTC+0100,2FQHYWdmKB,com.sec.android.app.shealth,189,5ad2631b-9b31-451e-9c8a-75a3aef359c4,
62710251,2024-08-15 14:57:45.803,,62710251,2024-08-15 14:57:45.813,2024-08-15 14:57:45.813,149,175,1,UTC+0100,2FQHYWdmKB,com.sec.android.app.shealth,189,6854eb58-85d8-400c-8d6b-82c769b2f1ad,
62710251,2024-08-17 10:12:26.071,,62710251,2024-08-17 10:12:26.092,2024-08-17 10:12:26.092,149,175,1,UTC+0100,2FQHYWdmKB,com.sec.android.app.shealth,189,366bc30e-db69-4a2e-b069-e6ad53aa50b9,
62710251,2024-08-19 10:01:27.996,,62710251,2024-08-19 10:01:28.001,2024-08-19 10:01:28.001,149,175,1,UTC+0100,2FQHYWdmKB,com.sec.android.app.shealth,189,0da10181-7642-4612-a8ff-d37fa3618aa2,
62710251,2024-08-21 08:47:38.300,,62710251,2024-08-21 08:47:38.304,2024-08-21 08:47:38.304,149,175,1,UTC+0100,2FQHYWdmKB,com.sec.android.app.shealth,189,71f1bbfb-7aaf-40f2-85b0-0377c60fa89c,
62710251,2024-08-28 10:04:34.270,,62710251,2024-08-28 10:04:34.271,2024-08-28 10:04:34.271,149,175,1,UTC+0100,2FQHYWdmKB,com.sec.android.app.shealth,189,396a5693-9e96-4946-88be-3582a67fe284,
62710251,2024-09-02 10:34:02.885,,62710251,2024-09-02 10:34:02.914,2024-09-02 10:34:02.914,149,175,1,UTC+0100,2FQHYWdmKB,com.sec.android.app.shealth,189,6f90ffcc-bfaa-437b-9bde-91434c662eff,
62710251,2024-09-06 10:53:59.565,,62710251,2024-09-06 10:53:59.566,2024-09-06 10:53:59.566,149,175,1,UTC+0100,2FQHYWdmKB,com.sec.android.app.shealth,189,074016a3-cd88-441b-b496-60ffbba5cf9f,
62720071,2024-09-07 10:32:26.691,,62720071,2024-09-07 10:32:26.699,2024-09-07 10:32:26.699,149,175,1,UTC+0100,2FQHYWdmKB,com.sec.android.app.shealth,189,8e9a857d-d2e3-41f2-882e-72ad0364e1a2,
62910031,2025-03-05 13:05:46.139,,62910031,2025-03-05 13:05:46.144,2025-03-05 13:05:46.144,151,176,1,UTC+0000,2FQHYWdmKB,com.sec.android.app.shealth,190,bf269837-f430-44d9-a37b-7a176d265327,
62910031,2025-03-07 09:10:56.295,,62910031,2025-03-07 09:10:56.300,2025-03-07 09:10:56.300,151,176,1,UTC+0000,2FQHYWdmKB,com.sec.android.app.shealth,190,27e28d05-1c36-442e-b8cb-bff5f3e88f54,
62910031,2025-03-10 12:55:17.344,,62910031,2025-03-10 12:55:17.361,2025-03-10 12:55:17.361,151,176,1,UTC+0000,2FQHYWdmKB,com.sec.android.app.shealth,190,11a2fd30-6003-40b6-b140-e93cbebd088d,
62910031,2025-03-14 14:54:28.064,,62910031,2025-03-14 14:54:28.067,2025-03-14 14:54:28.067,151,176,1,UTC+0000,2FQHYWdmKB,com.sec.android.app.shealth,190,55ec25f3-d66c-4f1d-9073-d5ffaaa20fa6,
62910031,2025-03-18 13:19:13.073,,62910031,2025-03-18 13:19:13.081,2025-03-18 13:19:13.081,151,176,1,UTC+0000,2FQHYWdmKB,com.sec.android.app.shealth,190,d3a76c92-f1c5-4ae1-aeef-84f894553b98,
63070031,2026-01-02 10:04:26.746,,63070031,2026-01-02 10:04:26.810,2026-01-02 10:04:26.810,153,175,1,UTC+0000,2FQHYWdmKB,com.sec.android.app.shealth,190,93e28dde-ec15-4c89-adba-ee02450667fd,
